cell,invariant,before,after,residual,scaled_residual
665,mass_T,5.400000000000000475618e-05,5.400000000000000475618e-05,0.000000000000000000000e+00,0.00000000000000000e+00
666,mass,1.500000000000000196820e-08,1.500000000000000196820e-08,0.000000000000000000000e+00,0.00000000000000000e+00
666,mom_x,1.338380413243986742221e-06,1.338380413243986742221e-06,0.000000000000000000000e+00,0.00000000000000000e+00
666,mom_y,-5.144559814485675607029e-10,-5.144559814485675607029e-10,0.000000000000000000000e+00,0.00000000000000000e+00
666,mom_z,-2.247986369177074168852e-13,-2.247986369177074168852e-13,0.000000000000000000000e+00,0.00000000000000000e+00
666,energy,6.003303166660966855208e-05,6.003303166660966855208e-05,0.000000000000000000000e+00,0.00000000000000000e+00
666,mass_d,1.746646838953598700872e-12,1.746646838953598700872e-12,0.000000000000000000000e+00,0.00000000000000000e+00
666,mass_T,5.400000000000000475618e-05,5.400000000000000475618e-05,0.000000000000000000000e+00,0.00000000000000000e+00
667,mass,2.000000000000000041845e-08,2.000000000000000041845e-08,0.000000000000000000000e+00,0.00000000000000000e+00
667,mom_x,1.776197733247086464202e-06,1.776197733247086464202e-06,0.000000000000000000000e+00,0.00000000000000000e+00
667,mom_y,-7.049311208630980251727e-10,-7.049311208630980251727e-10,0.000000000000000000000e+00,0.00000000000000000e+00
667,mom_z,-2.917861517689579109707e-13,-2.917861517689579109707e-13,0.000000000000000000000e+00,0.00000000000000000e+00
667,energy,7.930575323878951148233e-05,7.930575323878951148233e-05,0.000000000000000000000e+00,0.00000000000000000e+00
667,mass_d,2.484304252741189163056e-12,2.484304252741189163056e-12,0.000000000000000000000e+00,0.00000000000000000e+00
667,mass_T,7.200000000000000182406e-05,7.200000000000000182406e-05,0.000000000000000000000e+00,0.00000000000000000e+00
668,mass,2.500000000000000217743e-08,2.500000000000000217743e-08,0.000000000000000000000e+00,0.00000000000000000e+00
668,mom_x,2.196689836573909766635e-06,2.196689836573909766635e-06,0.000000000000000000000e+00,0.00000000000000000e+00
668,mom_y,-8.820054229967393969416e-10,-8.820054229967393969416e-10,0.000000000000000000000e+00,0.00000000000000000e+00
668,mom_z,-3.160696971451695997220e-13,-3.160696971451695997220e-13,0.000000000000000000000e+00,0.00000000000000000e+00
668,energy,9.706184602005578062126e-05,9.706184602005578062126e-05,0.000000000000000000000e+00,0.00000000000000000e+00
668,mass_d,3.802634952702828761044e-12,3.802634952702828761044e-12,0.000000000000000000000e+00,0.00000000000000000e+00
668,mass_T,9.000000000000000566821e-05,9.000000000000000566821e-05,0.000000000000000000000e+00,0.00000000000000000e+00
669,mass,3.000000000000000393640e-08,3.000000000000000393640e-08,0.000000000000000000000e+00,0.00000000000000000e+00
669,mom_x,2.576270099769792292573e-06,2.576270099769792292573e-06,0.000000000000000000000e+00,0.00000000000000000e+00
669,mom_y,-1.062479427608421064144e-09,-1.062479427608421064144e-09,0.000000000000000000000e+00,0.00000000000000000e+00
669,mom_z,-3.275517491207155444402e-13,-3.275517491207155444402e-13,0.000000000000000000000e+00,0.00000000000000000e+00
669,energy,1.112882281820467937627e-04,1.112882281820467937627e-04,0.000000000000000000000e+00,0.00000000000000000e+00
669,mass_d,5.161856104694490042141e-12,5.161856104694490042141e-12,0.000000000000000000000e+00,0.00000000000000000e+00
669,mass_T,1.080000000000000095124e-04,1.080000000000000095124e-04,0.000000000000000000000e+00,0.00000000000000000e+00
670,mass,4.000000000000000083690e-08,4.000000000000000083690e-08,0.000000000000000000000e+00,0.00000000000000000e+00
670,mom_x,3.295270848360560483686e-06,3.295270848360560483686e-06,0.000000000000000000000e+00,0.00000000000000000e+00
670,mom_y,-1.707770892550433390756e-09,-1.707770892550433390756e-09,0.000000000000000000000e+00,0.00000000000000000e+00
670,mom_z,-6.791701144750094160480e-13,-6.791701144750094160480e-13,0.000000000000000000000e+00,0.00000000000000000e+00
670,energy,1.366059168748890112564e-04,1.366059168748890112564e-04,0.000000000000000000000e+00,0.00000000000000000e+00
670,mass_d,4.296975637108225814035e-12,4.296975637108225814035e-12,0.000000000000000000000e+00,0.00000000000000000e+00
670,mass_T,1.440000000000000036481e-04,1.440000000000000036481e-04,0.000000000000000000000e+00,0.00000000000000000e+00
671,mass,4.500000000000000590460e-08,4.500000000000000590460e-08,0.000000000000000000000e+00,0.00000000000000000e+00
671,mom_x,3.514099813924213753212e-06,3.514099813924213753212e-06,0.000000000000000000000e+00,0.00000000000000000e+00
671,mom_y,-1.506293286811729678396e-09,-1.506293286811729678396e-09,0.000000000000000000000e+00,0.00000000000000000e+00
671,mom_z,3.937714064829707053125e-12,3.937714064829707053125e-12,0.000000000000000000000e+00,0.00000000000000000e+00
671,energy,1.382150539881658705705e-04,1.382150539881658705705e-04,0.000000000000000000000e+00,0.00000000000000000e+00
671,mass_d,7.599413949512402157643e-12,7.599413949512402157643e-12,0.000000000000000000000e+00,0.00000000000000000e+00
671,mass_T,1.620000000000000074923e-04,1.620000000000000074923e-04,0.000000000000000000000e+00,0.00000000000000000e+00
672,mass,3.000000000000000393640e-08,3.000000000000000393640e-08,0.000000000000000000000e+00,0.00000000000000000e+00
672,mom_x,2.249816457660790648882e-06,2.249816457660790648882e-06,0.000000000000000000000e+00,0.00000000000000000e+00
672,mom_y,-1.635477303831852345024e-09,-1.635477303831852345024e-09,0.000000000000000000000e+00,0.00000000000000000e+00
672,mom_z,2.342313739880858931499e-12,2.342313739880858931499e-12,0.000000000000000000000e+00,0.00000000000000000e+00
672,energy,8.499795181340752240912e-05,8.499795181340752240912e-05,0.000000000000000000000e+00,0.00000000000000000e+00
672,mass_d,4.596644047231636925985e-12,4.596644047231636925985e-12,0.000000000000000000000e+00,0.00000000000000000e+00
672,mass_T,1.080000000000000095124e-04,1.080000000000000095124e-04,0.000000000000000000000e+00,0.00000000000000000e+00
673,mass,2.000000000000000041845e-08,2.000000000000000041845e-08,0.000000000000000000000e+00,0.00000000000000000e+00
673,mom_x,1.477566109264295702571e-06,1.477566109264295702571e-06,0.000000000000000000000e+00,0.00000000000000000e+00
673,mom_y,-1.236387583359477716658e-09,-1.236387583359477716658e-09,0.000000000000000000000e+00,0.00000000000000000e+00
673,mom_z,-3.759226264672726285558e-13,-3.759226264672726285558e-13,0.000000000000000000000e+00,0.00000000000000000e+00
673,energy,5.498655243914564271076e-05,5.498655243914564271076e-05,0.000000000000000000000e+00,0.00000000000000000e+00
673,mass_d,2.498554158392448139750e-12,2.498554158392448139750e-12,0.000000000000000000000e+00,0.00000000000000000e+00
673,mass_T,7.200000000000000182406e-05,7.200000000000000182406e-05,0.000000000000000000000e+00,0.00000000000000000e+00
674,mass,1.500000000000000196820e-08,1.500000000000000196820e-08,0.000000000000000000000e+00,0.00000000000000000e+00
674,mom_x,1.103790684017498859319e-06,1.103790684017498859319e-06,0.000000000000000000000e+00,0.00000000000000000e+00
674,mom_y,-9.929478096038265332613e-10,-9.929478096038265332613e-10,0.000000000000000000000e+00,0.00000000000000000e+00
674,mom_z,-3.149948532481204909055e-13,-3.149948532481204909055e-13,0.000000000000000000000e+00,0.00000000000000000e+00
674,energy,4.091870185386930390764e-05,4.091870185386930390764e-05,0.000000000000000000000e+00,0.00000000000000000e+00
674,mass_d,1.848545231143851995381e-12,1.848545231143851995381e-12,0.000000000000000000000e+00,0.00000000000000000e+00
674,mass_T,5.400000000000000475618e-05,5.400000000000000475618e-05,0.000000000000000000000e+00,0.00000000000000000e+00
675,mass,1.500000000000000196820e-08,1.500000000000000196820e-08,0.000000000000000000000e+00,0.00000000000000000e+00
675,mom_x,1.100466447436492206823e-06,1.100466447436492206823e-06,0.000000000000000000000e+00,0.00000000000000000e+00
675,mom_y,-1.018019083618041059309e-09,-1.018019083618041059309e-09,0.000000000000000000000e+00,0.00000000000000000e+00
675,mom_z,-2.197779094922532338599e-13,-2.197779094922532338599e-13,0.000000000000000000000e+00,0.00000000000000000e+00
675,energy,4.068323709835232088617e-05,4.068323709835232088617e-05,0.000000000000000000000e+00,0.00000000000000000e+00
675,mass_d,2.719043732763343113811e-12,2.719043732763343113811e-12,0.000000000000000000000e+00,0.00000000000000000e+00
675,mass_T,5.400000000000000475618e-05,5.400000000000000475618e-05,0.000000000000000000000e+00,0.00000000000000000e+00
676,mass,1.500000000000000196820e-08,1.500000000000000196820e-08,0.000000000000000000000e+00,0.00000000000000000e+00
