state,time_s,field,relative_l2_vs_L0
T1,0.0175,p,4.395881781092246e-15
T1,0.0175,T,1.709855827564276e-15
T1,0.0175,U,1.8256121833315275e-12
T1,0.0175,epsilonS,1.9926971437283984e-16
T1,0.0175,Us,2.85671270766498e-10
T1,0.0175,theta,4.1480972356783e-09
T1,0.02,rho,3.4255332465607677e-15
T1,0.02,p,5.011169689910858e-15
T1,0.02,T,1.990677677459961e-15
T1,0.02,U,2.2651479066111686e-12
T1,0.02,epsilonS,2.0215717865670443e-16
T1,0.02,Us,3.1078420889673827e-10
T1,0.02,theta,4.361464388618717e-09
T1,0.0225,rho,4.107441502519315e-15
T1,0.0225,p,5.7502022695982724e-15
T1,0.0225,T,2.2146903866463023e-15
T1,0.0225,U,2.733930886476782e-12
T1,0.0225,epsilonS,2.0320614034245103e-16
T1,0.0225,Us,3.358885994087773e-10
T1,0.0225,theta,4.6718101241271895e-09
T1,0.025,rho,4.3258449054581815e-15
T1,0.025,p,6.3031615945154605e-15
T1,0.025,T,2.5597728426747205e-15
T1,0.025,U,3.2256047744964625e-12
T1,0.025,epsilonS,2.0489587055720282e-16
T1,0.025,Us,3.560704712351087e-10
T1,0.025,theta,4.948452898158877e-09
T1,0.0275,rho,4.968922142113602e-15
T1,0.0275,p,7.064963815175063e-15
T1,0.0275,T,2.711272099729495e-15
T1,0.0275,U,3.734320106828314e-12
T1,0.0275,epsilonS,2.0503891317311176e-16
T1,0.0275,Us,3.7785563885994705e-10
T1,0.0275,theta,5.074323957054788e-09
T1,0.03,rho,5.399618144403962e-15
T1,0.03,p,7.80507105570274e-15
T1,0.03,T,3.1513022761932004e-15
T1,0.03,U,4.268968965811125e-12
T1,0.03,epsilonS,2.0544239254322685e-16
T1,0.03,Us,3.9880921842573166e-10
T1,0.03,theta,5.331631917758826e-09
T1,0.0325,rho,5.9246730322323e-15
T1,0.0325,p,8.239884632030842e-15
T1,0.0325,T,3.182449559935721e-15
T1,0.0325,U,4.831404078398718e-12
T1,0.0325,epsilonS,2.0537826180496164e-16
T1,0.0325,Us,4.1885232388639375e-10
T1,0.0325,theta,5.580675350301797e-09
T1,0.035,rho,6.480941950431328e-15
T1,0.035,p,8.992161280722756e-15
T1,0.035,T,3.5406061229458043e-15
T1,0.035,U,5.443427130358649e-12
T1,0.035,epsilonS,2.0794770650962638e-16
T1,0.035,Us,4.3649198170213917e-10
T1,0.035,theta,5.815327952240427e-09
T1,0.0375,rho,7.118201184851612e-15
T1,0.0375,p,9.55821579877979e-15
T1,0.0375,T,3.926729526628645e-15
T1,0.0375,U,6.043220435184329e-12
T1,0.0375,epsilonS,2.0889484728725298e-16
T1,0.0375,Us,4.544802037263104e-10
T1,0.0375,theta,5.972191935574023e-09
T1,0.04,rho,7.437616783193368e-15
T1,0.04,p,1.019916582471103e-14
T1,0.04,T,4.024067362812152e-15
T1,0.04,U,6.686084517306645e-12
T1,0.04,epsilonS,2.0891395395077736e-16
T1,0.04,Us,4.704128395081161e-10
T1,0.04,theta,6.036434585278447e-09
T1,0.0425,rho,8.023125767126546e-15
T1,0.0425,p,1.0817792746475096e-14
T1,0.0425,T,4.3893150982463435e-15
T1,0.0425,U,7.309201743046112e-12
T1,0.0425,epsilonS,2.0882179835348728e-16
T1,0.0425,Us,4.869395816170151e-10
T1,0.0425,theta,6.1885493106923635e-09
T1,0.045,rho,8.376198836855955e-15
T1,0.045,p,1.1415010004313155e-14
T1,0.045,T,4.557221324050887e-15
T1,0.045,U,7.951653291156134e-12
T1,0.045,epsilonS,2.087208998744976e-16
T1,0.045,Us,5.005068091408108e-10
T1,0.045,theta,6.378035039409826e-09
T1,0.0475,rho,8.79320539901119e-15
T1,0.0475,p,1.199622872571352e-14
T1,0.0475,T,4.8176377338433914e-15
T1,0.0475,U,8.598352608399204e-12
T1,0.0475,epsilonS,2.093301206761193e-16
T1,0.0475,Us,5.167750975473579e-10
T1,0.0475,theta,6.533835500314058e-09
T1,0.05,rho,9.229889311063457e-15
T1,0.05,p,1.2601911284063708e-14
T1,0.05,T,5.023418198222691e-15
T1,0.05,U,9.255067520292878e-12
T1,0.05,epsilonS,2.0766542967766405e-16
T1,0.05,Us,5.296173067071301e-10
T1,0.05,theta,6.670736034082313e-09
S1,0.0,rho,0.0
S1,0.0,p,0.0
S1,0.0,T,0.0
S1,0.0,U,0.0
S1,0.0,epsilonS,0.0
S1,0.0,Us,0.0
S1,0.0,theta,0.0
S1,0.0025,rho,2.2052434341442494e-16
S1,0.0025,p,2.097797864931826e-16
S1,0.0025,T,2.187786775014649e-16
S1,0.0025,U,4.916611948374173e-14
S1,0.0025,epsilonS,1.8634355221552615e-16
S1,0.0025,Us,3.5089905956814324e-11
S1,0.0025,theta,5.749319101754922e-10
S1,0.005,rho,5.739351255751002e-16
S1,0.005,p,7.560278068672828e-16
S1,0.005,T,3.397046833684802e-16
S1,0.005,U,1.9614478809940835e-13
S1,0.005,epsilonS,1.8637082430276646e-16
S1,0.005,Us,8.675829971592861e-11
S1,0.005,theta,1.441604616989935e-09
S1,0.0075,rho,9.471457472933989e-16
S1,0.0075,p,1.3660519452874418e-15
S1,0.0075,T,5.591308624383722e-16
S1,0.0075,U,4.1308510452118536e-13
S1,0.0075,epsilonS,1.8882649194761676e-16
S1,0.0075,Us,1.3818152551846598e-10
S1,0.0075,theta,2.1525162142958626e-09
S1,0.01,rho,1.4316248902274454e-15
S1,0.01,p,2.0861494144918157e-15
S1,0.01,T,8.320495815728684e-16
S1,0.01,U,7.072772737820028e-13
S1,0.01,epsilonS,1.905570192273964e-16
S1,0.01,Us,1.8240051708877736e-10
S1,0.01,theta,2.7376574324658045e-09
S1,0.0125,rho,2.0077612876184986e-15
S1,0.0125,p,2.931846648227411e-15
S1,0.0125,T,1.1656723338223889e-15
S1,0.0125,U,1.0371900213885658e-12
S1,0.0125,epsilonS,1.9369219529483316e-16
S1,0.0125,Us,2.194921401103772e-10
S1,0.0125,theta,3.4085637784681607e-09
S1,0.015,rho,2.3679042319187883e-15
S1,0.015,p,3.481049388847883e-15
S1,0.015,T,1.356733593617043e-15
S1,0.015,U,1.3924804901425428e-12
S1,0.015,epsilonS,1.9598741528969776e-16
S1,0.015,Us,2.482141979704926e-10
S1,0.015,theta,3.798222263080425e-09
S1,0.0175,rho,3.0099779933766974e-15
S1,0.0175,p,4.2535651441710566e-15
S1,0.0175,T,1.6489330027742106e-15
S1,0.0175,U,1.782928310018049e-12
S1,0.0175,epsilonS,1.9926971437283984e-16
S1,0.0175,Us,2.803174555439133e-10
S1,0.0175,theta,4.079842445544607e-09
S1,0.02,rho,3.346219260554016e-15
S1,0.02,p,4.905110027623168e-15
S1,0.02,T,1.941721931160048e-15
S1,0.02,U,2.208060888564773e-12
S1,0.02,epsilonS,2.0215717865670443e-16
S1,0.02,Us,3.076570010079964e-10
S1,0.02,theta,4.322430363130448e-09
S1,0.0225,rho,4.102588576630385e-15
S1,0.0225,p,5.752209820250297e-15
S1,0.0225,T,2.2002234545071196e-15
S1,0.0225,U,2.672477262170825e-12
S1,0.0225,epsilonS,2.0320614034245103e-16
S1,0.0225,Us,3.3423874609596873e-10
S1,0.0225,theta,4.658213277792592e-09
S1,0.025,rho,4.320603649323414e-15
S1,0.025,p,6.288967531994606e-15
S1,0.025,T,2.505052615125109e-15
S1,0.025,U,3.1470317851826046e-12
S1,0.025,epsilonS,2.0489587055720282e-16
S1,0.025,Us,3.534250733750633e-10
S1,0.025,theta,4.85351120162739e-09
S1,0.0275,rho,4.911823270760441e-15
S1,0.0275,p,7.023422560229065e-15
S1,0.0275,T,2.6850789782262577e-15
S1,0.0275,U,3.663192145009739e-12
S1,0.0275,epsilonS,2.0503891317311176e-16
S1,0.0275,Us,3.761030254740687e-10
S1,0.0275,theta,5.025491428723505e-09
S1,0.03,rho,5.3775737272921715e-15
S1,0.03,p,7.7631084944339e-15
S1,0.03,T,3.0349288910101857e-15
S1,0.03,U,4.2352356187019025e-12
S1,0.03,epsilonS,2.0544239254322685e-16
S1,0.03,Us,3.9756695966016474e-10
S1,0.03,theta,5.30908807850484e-09
S1,0.0325,rho,6.0134047913035944e-15
S1,0.0325,p,8.417196772455618e-15
S1,0.0325,T,3.1749494613125282e-15
S1,0.0325,U,4.824755033820939e-12
S1,0.0325,epsilonS,2.0537826180496164e-16
S1,0.0325,Us,4.1849014678336546e-10
S1,0.0325,theta,5.531356158151483e-09
S1,0.035,rho,6.517164277838574e-15
S1,0.035,p,9.035286457009258e-15
