multiplier,particle_count_initial,state,metric,median,q1,q3,ci95_low,ci95_high
100,758100,L1,total_ms,8.22323179,8.21401596,8.223743915,8.211456299999998,8.239103790000001
100,758100,L1,gas_flux_ms,0.365567997,0.3640320005,0.3712000105,0.3604799955,0.37990400199999996
100,758100,L1,eulerian_coupling_ms,0.118784003,0.117760003,0.118784003,0.11776000299999997,0.118784003
100,758100,L1,injection_ms,0.0143360002,0.0143360002,0.0143360002,0.0143360002,0.0143360002
100,758100,L1,bin_pre_ms,0.186368003,0.186368003,0.1868799995,0.185343996,0.18687999949999998
100,758100,L1,pressure_pre_ms,1.3747680199999999,1.37471998,1.375231985,1.374719975,1.375743985
100,758100,L1,collision_pool_ms,0.440319985,0.440319985,0.441343993,0.439807996,0.44185599700000006
100,758100,L1,relax_ms,1.43155199,1.43001604,1.432063995,1.4274560200000004,1.432063995
100,758100,L1,track_ms,0.8258559999999999,0.824832022,0.8258559999999999,0.824831992,0.8289279940000001
100,758100,L1,bin_post_ms,0.183807999,0.1832960025,0.1838719995,0.183295995,0.184320003
100,758100,L1,moments_ms,1.16121602,1.16019201,1.16121602,1.1601920099999998,1.161231995
100,758100,L1,pressure_post_ms,1.37625599,1.374719975,1.37625599,1.37420797,1.3762559900000002
100,758100,L1,compaction_ms,0.693247974,0.693247974,0.693248004,0.692736,0.6943199929999999
100,758100,L1,boundary_ms,0.027135999850000002,0.0266239997,0.027648,0.0266239997,0.027648
100,758100,L1,particle_count,759775.5,759775.5,759775.5,759775.5,759775.5
100,758100,L1,base_particle_count,759786.5,759786.5,759786.5,759786.5,759786.5
100,758100,L1,injected_particle_count,17.5,17.5,17.5,17.5,17.5
100,758100,L1,removed_particle_count,0.0,0.0,0.0,0.0,0.0
100,758100,L1,injection_fraction,2.3027118984784416e-05,2.3027118984784416e-05,2.3027118984784416e-05,2.3027118984784416e-05,2.3027118984784416e-05
100,758100,L1,occupancy_cv,1.9751044168071326,1.9751044168071326,1.9751044168071326,1.9751044168071323,1.9751044168071323
100,758100,L1,occupancy_i2,4.901037800606821,4.901037800606821,4.901037800606821,4.901037800606821,4.901037800606821
100,758100,L1,occupancy_p99,900.0,900.0,900.0,900.0,900.0
100,758100,L1,occupancy_max,2300.0,2300.0,2300.0,2300.0,2300.0
100,758100,L1,heavy_cell_fraction,0.007631578947368421,0.007631578947368421,0.007631578947368421,0.0076315789473684215,0.0076315789473684215
100,758100,L1,heavy_particle_fraction,0.1148098180839115,0.1148098180839115,0.1148098180839115,0.11480981808391148,0.11480981808391148
100,758100,L1,heavy_task_count_estimate,119.0,119.0,119.0,119.0,119.0
100,758100,E1,total_ms,7.965696100000001,7.961600065,7.9933440650000005,7.956416129999999,8.00767994
100,758100,E1,gas_flux_ms,0.351231992,0.3481599985,0.3620000035,0.34099200399999996,0.370687991
100,758100,E1,eulerian_coupling_ms,0.118784003,0.118320003,0.118784003,0.11776000299999997,0.118784003
100,758100,E1,injection_ms,0.0143360002,0.0143360002,0.0143360002,0.0143360002,0.0143360002
100,758100,E1,bin_pre_ms,0.0639999993,0.0634879991,0.0639999993,0.0634879991,0.0645119995
100,758100,E1,pressure_pre_ms,1.3767679899999998,1.375743985,1.378304,1.3752319800000001,1.378304005
100,758100,E1,collision_pool_ms,0.441343993,0.440319985,0.442368001,0.440319985,0.442368001
100,758100,E1,relax_ms,1.43052804,1.429504035,1.43155199,1.4295039749999998,1.431551995
100,758100,E1,track_ms,0.8238079844999999,0.821247995,0.824831992,0.821247995,0.832000017
100,758100,E1,bin_post_ms,0.0532479994,0.0532479994,0.0532479994,0.0532479994,0.0542719997
100,758100,E1,moments_ms,1.16121602,1.16121602,1.16121602,1.16121602,1.1719680449999998
100,758100,E1,pressure_post_ms,1.375743985,1.375743985,1.37625599,1.3752319800000001,1.3762559900000002
100,758100,E1,compaction_ms,0.6952959894999999,0.694783986,0.69529599,0.693247974,0.696832001
100,758100,E1,boundary_ms,0.027648,0.027648,0.027648,0.027135999850000002,0.027648
100,758100,E1,particle_count,759775.5,759775.5,759775.5,759775.5,759775.5
100,758100,E1,base_particle_count,759786.5,759786.5,759786.5,759786.5,759786.5
100,758100,E1,injected_particle_count,17.5,17.5,17.5,17.5,17.5
100,758100,E1,removed_particle_count,0.0,0.0,0.0,0.0,0.0
100,758100,E1,injection_fraction,2.3027118984784416e-05,2.3027118984784416e-05,2.3027118984784416e-05,2.3027118984784416e-05,2.3027118984784416e-05
100,758100,E1,occupancy_cv,1.9751044168071326,1.9751044168071326,1.9751044168071326,1.9751044168071323,1.9751044168071323
100,758100,E1,occupancy_i2,4.901037800606821,4.901037800606821,4.901037800606821,4.901037800606821,4.901037800606821
100,758100,E1,occupancy_p99,900.0,900.0,900.0,900.0,900.0
100,758100,E1,occupancy_max,2300.0,2300.0,2300.0,2300.0,2300.0
100,758100,E1,heavy_cell_fraction,0.007631578947368421,0.007631578947368421,0.007631578947368421,0.0076315789473684215,0.0076315789473684215
100,758100,E1,heavy_particle_fraction,0.1148098180839115,0.1148098180839115,0.1148098180839115,0.11480981808391148,0.11480981808391148
100,758100,E1,heavy_task_count_estimate,119.0,119.0,119.0,119.0,119.0
100,758100,S1,total_ms,7.96774387,7.95699191,8.00256014,7.941632035,8.02764797
100,758100,S1,gas_flux_ms,0.3640320005,0.34559999399999997,0.365055993,0.34150399249999996,0.379391998
100,758100,S1,eulerian_coupling_ms,0.118272003,0.117760003,0.118784003,0.11776000299999997,0.118784003
100,758100,S1,injection_ms,0.0143360002,0.013824,0.0143360002,0.013327999949999999,0.0143360002
100,758100,S1,bin_pre_ms,0.02611199955,0.0245760009,0.03430400045,0.0245760009,0.03481599875000001
