x_m,particle_count,mean_u_p,mean_T_p,covariance_uT,selected,T_p_numerical,T_p_published
0.545,1929,0.27776596063363773,0.9777919706991132,-0.013592033832575123,0,0.97779197069911,0.8890353400079017
0.555,1945,0.2802924152348754,0.9882475491177777,-0.016628443451130848,0,0.98824754911778,0.8984753876256408
0.565,1985,0.27832452910336974,1.0013963946622297,-0.020066678037544028,0,1.0013963946622,0.9163546902482664
0.575,2010,0.2838203058690777,1.0164087275500129,-0.023127729040289813,0,1.01640872755,0.9451004877463669
0.585,2037,0.2827082728667426,1.0345464926903152,-0.026279318134803886,0,1.0345464926903,0.9842215082463999
0.595,2080,0.2845459277505593,1.0556974833480641,-0.029273294498306845,0,1.0556974833481,1.0276867862991135
0.605,2126,0.2897191990813797,1.0801645159361994,-0.03143798029610101,0,1.0801645159362,1.0828930869298055
0.615,2159,0.28844806619664803,1.1105565135317383,-0.033075465415343785,0,1.1105565135317,1.1378867105397654
0.625,2170,0.28694173029045406,1.145255470826547,-0.03296459089013282,0,1.1452554708265,1.209329403910411
0.635,2217,0.2873904186507313,1.1829064849835405,-0.029379792790206083,0,1.1829064849835,1.2783853485792052
0.645,2250,0.28705089990693705,1.2173308152608457,-0.023400785919212408,0,1.2173308152608,1.3456963315105601
0.655,2265,0.28331188990460016,1.2454205428268064,-0.01597102156805602,0,1.2454205428268,1.3951483093636947
0.665,2293,0.2829797796661071,1.2651072173285076,-0.008259774952640964,0,1.2651072173285,1.4257744078409458
0.675,2322,0.27558341211580917,1.2767707581399912,-0.0010913749958048613,0,1.27677075814,1.4539874142411717
0.685,2335,0.2717707136580909,1.2821133476774318,0.005135822953537705,1,1.2821133476774,1.4572421994304507
0.695,2345,0.2663546697955488,1.2818546570936928,0.009869004684473937,1,1.2818546570937,1.461789937191028
0.705,2353,0.25856827070375904,1.2780043143216009,0.01369911934585405,1,1.2780043143216,1.4683292580032419
0.715,2350,0.24970573602858956,1.2716547186182883,0.016678868299554894,1,1.2716547186183,1.4673659874622393
0.725,2364,0.24085286027872538,1.2629857810396832,0.018651294396311358,0,1.2629857810397,1.459353055149896
0.735,2343,0.2266257100239201,1.253068963649564,0.020057770395062013,0,1.2530689636496,1.4448487790544362
0.745,2331,0.2132667762389417,1.2419413366471148,0.02076552660458819,0,1.2419413366471,1.4301126529554569
0.755,2317,0.2041054942535537,1.2303719080874147,0.02101104659479608,0,1.2303719080874,1.4137797123308664
0.765,2288,0.1841624305983196,1.217733055729047,0.02058558663101076,0,1.217733055729,1.3868765081878403
0.775,2265,0.16439302515496937,1.204550865363153,0.019591158823466293,0,1.2045508653632,1.3605710368841388
0.785,2226,0.14747579889348622,1.19151078828634,0.01834573319748012,0,1.1915107882863,1.329084083432587
0.795,2196,0.12584749120540353,1.178348670510929,0.016702430053556594,0,1.1783486705109,1.2953611561731437
0.805,2155,0.10435944585595477,1.1649983716386925,0.014537828739466574,0,1.1649983716387,1.2649590321459936
0.815,2119,0.07757097216454234,1.1511981503368032,0.011284184122044946,0,1.1511981503368,1.2335783466882324
0.825,2077,0.05414643824921462,1.1384695232125832,0.007718052401892363,0,1.1384695232126,1.2060165838410057
0.835,2046,0.03145976001811947,1.128876340984857,0.004348076637814141,0,1.1288763409849,1.1842372352213795
0.845,2030,0.01751587006359227,1.1240112041761254,0.0023840341487035496,0,1.1240112041761,1.1724440380486092
0.855,2018,0.01322681180689585,1.1221097927320032,0.001613806116877399,0,1.122109792732,1.1700817473525758
0.865,2009,0.006834910757203828,1.1210832909717894,0.000981387875618217,0,1.1210832909718,1.1688876845483098
0.875,2007,0.005380189319972154,1.1206577880373323,0.0007316674155620389,0,1.1206577880373,1.1694437682742918
0.885,2005,0.0038420368601443907,1.120375995517473,0.0005417034623483889,0,1.1203759955175,1.1685088638215053
0.895,2004,0.002967027573417004,1.1202001393864724,0.0004180052223777841,0,1.1202001393865,1.1673018928237644
0.905,2004,0.003204601762761515,1.1201035199472569,0.0003835034944183512,0,1.1201035199473,1.1685882131619645
0.915,2001,0.0009676469639553878,1.1199563201775011,0.0002354658396082948,0,1.1199563201775,1.1708655911509316
0.925,2001,0.0008646670403275536,1.1198974789070537,0.00019797464980456428,0,1.1198974789071,1.168419831494191
0.935,2000,0.00014548720034111593,1.119836440265142,0.00014773762027757675,0,1.1198364402651,1.1695197402559274
0.945,2002,0.0014628431394809794,1.1198159404134898,0.000145924470614353,0,1.1198159404135,1.1695594409068468
0.955,2001,0.0007183781485512491,1.1197678265386344,9.689155892736695e-05,0,1.1197678265386,1.1661170565124028
0.965,2003,0.0007548624995427932,1.119800769883416,7.710876487164258e-05,0,1.1198007698834,1.166635736942706
0.975,2000,3.341389050562432e-05,1.1197332004472775,2.7538760642444145e-05,0,1.1197332004473,1.1702620759689673
0.985,2000,2.081098303228604e-05,1.1197279787870666,2.4260112041075746e-05,0,1.1197279787871,1.1707923655932333
0.995,2000,8.007161027311444e-06,1.1197241129838356,2.105858403928481e-05,0,1.1197241129838,1.16957195198
