state,time_s,particle_count,gas_mass,solid_mass,gas_energy,solid_resolved_energy,solid_granular_energy,solid_energy,mixture_energy,gas_momentum_x,solid_momentum_x,total_momentum_x,gas_momentum_y,solid_momentum_y,total_momentum_y,gas_momentum_z,solid_momentum_z,total_momentum_z,gas_energy_normalized,solid_energy_normalized,mixture_energy_normalized,total_momentum_relative_drift,gas_mass_relative_drift,solid_mass_relative_drift,max_field_relative_l2_vs_L0,mixture_energy_relative_difference_vs_L0
L1,0.01,524288,288.9937026954241,2480.502134423986,839.2019062448135,7699.427815384038,49.73401812371681,7749.161833507755,8588.363739752567,288.99727019633565,2480.495571615125,2769.4928418114605,144.49714050839475,1240.2502495063472,1384.747390014742,72.24835081171784,620.1257817936222,692.37413260534,0.9292406060205047,0.9996894388072427,0.9923381859984686,9.33954113985826e-07,2.7343861094526387e-07,0.0,2.687177555630312e-09,1.1953820896151655e-12
L1,0.0125,524288,288.99376806886744,2480.502134423986,824.0594156291323,7696.537891641296,51.264629518340925,7747.802521159637,8571.861936788768,289.00039903475914,2480.4886951622275,2769.4890941969866,144.49807203504517,1240.2487925918022,1384.7468646268474,72.24829776976217,620.1260285271263,692.3743262968885,0.912473464464143,0.9995140791712395,0.9904314934415377,2.1279744029831718e-06,4.996492883010313e-07,0.0,3.3592851943348112e-09,4.986810485116464e-13
L1,0.015,524288,288.99384616114776,2480.502134423986,809.1292567582983,7693.129649200588,52.96064440173329,7746.090293602321,8555.21955036062,289.00684678421277,2480.4779239370473,2769.4847707212602,144.49966606575862,1240.2461993016252,1384.7458653673839,72.24824624037417,620.1263462622949,692.3745925026691,0.8959414359095405,0.9992931913071506,0.9885085572386435,3.5266167770465233e-06,7.698707531420485e-07,0.0,3.734387405054959e-09,9.370053280627026e-13
L1,0.0175,524288,288.9939314588782,2480.502134423986,794.4433389657977,7689.086923235575,54.917930473267674,7744.004853708843,8538.448192674641,289.0146724756906,2480.4651804437244,2769.479852919415,144.50218719945332,1240.2425314052869,1384.7447186047402,72.24828440681665,620.1265748948191,692.3748593016358,0.8796798532702256,0.9990241567610191,0.986570719116371,5.1191105907856336e-06,1.0650251214356218e-06,0.0,4.049131720704e-09,9.586580759471862e-13
L1,0.02,524288,288.9940341148449,2480.502134423986,779.8821545959881,7684.8947885794505,56.63088049435859,7741.525669073809,8521.407823669797,289.02371017229,2480.4519982288048,2769.475708401095,144.5038522273739,1240.2406057191993,1384.7444579465732,72.24827754994595,620.1268758595618,692.3751534095077,0.8635563868106166,0.9987043267265268,0.9846017982160205,6.4218692646526e-06,1.4202439162623683e-06,0.0,4.350316982711081e-09,3.585720180648976e-12
L1,0.0225,524288,288.9941315024409,2480.502134423986,765.6374888187248,7680.852778688204,57.794422304299,7738.647200992503,8504.28468981123,289.03474634086103,2480.436883408245,2769.4716297491063,144.5044463544608,1240.239302859646,1384.7437492141066,72.24828718827808,620.1271326003096,692.3754197885876,0.8477833984976441,0.9983329866767704,0.9826233142921071,7.729296789273825e-06,1.7572326523731086e-06,0.0,4.723665198320592e-09,1.633912852230484e-12
L1,0.025,524288,288.9942202946535,2480.502134423986,751.5435600213667,7676.365853209243,58.99080137602911,7735.356654585272,8486.900214606638,289.0495127627972,2480.4179588995394,2769.4674716623367,144.50509202905207,1240.2371531147314,1384.7422451437835,72.24833083834585,620.1272829090794,692.3756137474253,0.8321773198657799,0.9979084859937429,0.9806146338132856,9.105547901891449e-06,2.0644789211703425e-06,0.0,4.948084380430034e-09,1.876450980378586e-12
L1,0.0275,524288,288.99431773027857,2480.502134423986,737.8201738239006,7671.695536806654,59.95178608494625,7731.6473228916,8469.4674967155,289.06533868102844,2480.398313082995,2769.463651764024,144.5101176262422,1240.2300495565723,1384.7401671828145,72.24828757268003,620.1275264505769,692.3758140232569,0.8169815396704634,0.9974299594383725,0.9786003791574142,1.042363624417253e-05,2.4016338516323335e-06,0.0,5.1039088680368995e-09,2.217502528811404e-12
L1,0.03,524288,288.99441950660355,2480.502134423986,724.3343894385091,7666.928033313759,60.57385921470865,7727.5018925284685,8451.836281966976,289.08044460110693,2480.380008633918,2769.460453235025,144.5160306438183,1240.222155668151,1384.7381863119692,72.24827049597577,620.1276464858421,692.3759169818179,0.8020488537915452,0.9968951734779846,0.9765631892815922,1.1555708407739176e-05,2.753808836285285e-06,0.0,5.349918610692792e-09,2.1805912966025455e-12
L1,0.0325,524288,288.99450896030254,2480.502134423986,711.2596442991535,7661.864272010899,61.06134608783349,7722.925618098732,8434.185262397887,289.09657058626976,2480.3604145163945,2769.4569851026645,144.52233109932385,1240.2140723951413,1384.736403494465,72.24828219455887,620.1276696205414,692.3759518151003,0.787571307915578,0.9963048059885989,0.9745237110676993,1.2759982640295431e-05,3.0633440358974193e-06,0.0,5.569685092889307e-09,3.5757863234589127e-13
