factor,pair,ratio,stage,baseline_state,optimized_state,baseline_manuscript_state,optimized_manuscript_state,baseline_ms,optimized_ms,speedup
1,1,S1_over_T1,pressure_post_ms,E1,S1,T1,S1,1.5211520200000002,1.5299040100000001,0.99427938619495482
1,1,S1_over_T1,compaction_ms,E1,S1,T1,S1,3.9459840050000001,3.9567360900000002,0.99728258727510932
1,1,S1_over_T1,boundary_ms,E1,S1,T1,S1,0.024576000899999999,0.0255999994,0.96000005765625129
1,2,T2_over_T1,total_ms,E1,E2,T1,T2,24.899583849999999,25.602047900000002,0.97256219296425883
1,2,T2_over_T1,gas_flux_ms,E1,E2,T1,T2,0.32819201050000002,0.373760015,0.87808218463390209
1,2,T2_over_T1,eulerian_coupling_ms,E1,E2,T1,T2,0.099839996699999989,0.099839996699999989,1
1,2,T2_over_T1,injection_ms,E1,E2,T1,T2,0.032767999899999997,0.032767999899999997,1
1,2,T2_over_T1,bin_pre_ms,E1,E2,T1,T2,0.37785598599999998,0.38911999800000002,0.97105260059134757
1,2,T2_over_T1,pressure_pre_ms,E1,E2,T1,T2,1.54419196,1.5477759849999999,0.99768440327622743
1,2,T2_over_T1,collision_pool_ms,E1,E2,T1,T2,0.80537599299999996,0.98099201899999999,0.82098118781942908
1,2,T2_over_T1,relax_ms,E1,E2,T1,T2,10.397696,10.531840299999999,0.98726297625306769
1,2,T2_over_T1,track_ms,E1,E2,T1,T2,3.8650881049999999,3.8635520950000002,1.0003975642005676
1,2,T2_over_T1,bin_post_ms,E1,E2,T1,T2,0.373760015,0.38195198800000002,0.97855234883605313
1,2,T2_over_T1,moments_ms,E1,E2,T1,T2,1.572943985,1.8365439750000001,0.85646954628461858
1,2,T2_over_T1,pressure_post_ms,E1,E2,T1,T2,1.52224004,1.528831955,0.99568826712547354
1,2,T2_over_T1,compaction_ms,E1,E2,T1,T2,3.9429119850000003,3.949568035,0.998314739753559
1,2,T2_over_T1,boundary_ms,E1,E2,T1,T2,0.024576000899999999,0.024576000899999999,1
1,2,S2_over_S1,total_ms,S1,S2,S1,S2,24.44236755,24.800255749999998,0.98556917301145175
1,2,S2_over_S1,gas_flux_ms,S1,S2,S1,S2,0.36710400900000001,0.33894400299999999,1.0830815879636615
1,2,S2_over_S1,eulerian_coupling_ms,S1,S2,S1,S2,0.109056,0.098304003500000001,1.10937496050199
1,2,S2_over_S1,injection_ms,S1,S2,S1,S2,0.0336000007,0.032191999250000006,1.0437376206139168
1,2,S2_over_S1,bin_pre_ms,S1,S2,S1,S2,0.019455999099999999,0.089600000550000003,0.21714284576530618
1,2,S2_over_S1,pressure_pre_ms,S1,S2,S1,S2,1.476464035,1.4714879999999999,1.003381634780576
1,2,S2_over_S1,collision_pool_ms,S1,S2,S1,S2,0.72294402099999999,0.86534398800000001,0.83544120144739475
1,2,S2_over_S1,relax_ms,S1,S2,S1,S2,10.3900161,10.39411215,0.99960592593759923
1,2,S2_over_S1,track_ms,S1,S2,S1,S2,3.8067199,3.8179839849999997,0.99704972963630711
1,2,S2_over_S1,bin_post_ms,S1,S2,S1,S2,0.37171199900000002,0.37990400200000002,0.97843664989872892
1,2,S2_over_S1,moments_ms,S1,S2,S1,S2,1.561087965,1.7935519850000001,0.87038902583021582
1,2,S2_over_S1,pressure_post_ms,S1,S2,S1,S2,1.5144959650000001,1.5104,1.0027118412341103
1,2,S2_over_S1,compaction_ms,S1,S2,S1,S2,3.9357439300000001,3.9367679400000002,0.99973988560778615
1,2,S2_over_S1,boundary_ms,S1,S2,S1,S2,0.024576000899999999,0.025088000149999998,0.97959186675148358
1,2,S2_over_T2,total_ms,E2,S2,T2,S2,25.602047900000002,24.800255749999998,1.0323299952259566
1,2,S2_over_T2,gas_flux_ms,E2,S2,T2,S2,0.373760015,0.33894400299999999,1.1027190677275385
1,2,S2_over_T2,eulerian_coupling_ms,E2,S2,T2,S2,0.099839996699999989,0.098304003500000001,1.0156249302705154
1,2,S2_over_T2,injection_ms,E2,S2,T2,S2,0.032767999899999997,0.032191999250000006,1.0178926647433986
1,2,S2_over_T2,bin_pre_ms,E2,S2,T2,S2,0.38911999800000002,0.089600000550000003,4.3428570938775515
1,2,S2_over_T2,pressure_pre_ms,E2,S2,T2,S2,1.5477759849999999,1.4714879999999999,1.0518441095000435
1,2,S2_over_T2,collision_pool_ms,E2,S2,T2,S2,0.98099201899999999,0.86534398800000001,1.1336439989226572
1,2,S2_over_T2,relax_ms,E2,S2,T2,S2,10.531840299999999,10.39411215,1.0132505930292468
1,2,S2_over_T2,track_ms,E2,S2,T2,S2,3.8635520950000002,3.8179839849999997,1.0119351233999481
