factor,initial_target_cell_particles,state,manuscript_state,stage,processes,median_process_time_ms
32,352000,E1,T1,collision_pool_ms,5,5.0775041549999997
32,352000,E1,T1,relax_ms,5,11.379200000000001
32,352000,E1,T1,track_ms,5,4.0483839499999998
32,352000,E1,T1,bin_post_ms,5,0.41881600000000002
32,352000,E1,T1,moments_ms,5,7.50080013
32,352000,E1,T1,pressure_post_ms,5,7.9513597499999999
32,352000,E1,T1,compaction_ms,5,19.914752
32,352000,E1,T1,boundary_ms,5,0.024576000899999999
32,352000,E2,T2,total_ms,5,55.5345917
32,352000,E2,T2,gas_flux_ms,5,0.35737599450000002
32,352000,E2,T2,eulerian_coupling_ms,5,0.098847996450000003
32,352000,E2,T2,injection_ms,5,0.032767999899999997
32,352000,E2,T2,bin_pre_ms,5,0.43007999699999999
32,352000,E2,T2,pressure_pre_ms,5,8.0977921500000001
32,352000,E2,T2,collision_pool_ms,5,1.0275839549999999
32,352000,E2,T2,relax_ms,5,11.381759600000001
32,352000,E2,T2,track_ms,5,4.0509440899999998
32,352000,E2,T2,bin_post_ms,5,0.42905598900000003
32,352000,E2,T2,moments_ms,5,1.89132798
32,352000,E2,T2,pressure_post_ms,5,8.0025601399999999
32,352000,E2,T2,compaction_ms,5,19.80006405
32,352000,E2,T2,boundary_ms,5,0.024576000899999999
32,352000,S1,S1,total_ms,5,62.439392050000002
32,352000,S1,S1,gas_flux_ms,5,0.3548160045
32,352000,S1,S1,eulerian_coupling_ms,5,0.098368000250000004
32,352000,S1,S1,injection_ms,5,0.032767999899999997
32,352000,S1,S1,bin_pre_ms,5,0.019455999099999999
32,352000,S1,S1,pressure_pre_ms,5,6.9616639649999996
32,352000,S1,S1,collision_pool_ms,5,3.92703998
32,352000,S1,S1,relax_ms,5,11.380784050000001
32,352000,S1,S1,track_ms,5,4.0468480600000003
32,352000,S1,S1,bin_post_ms,5,0.417791992
32,352000,S1,S1,moments_ms,5,7.4475519700000001
32,352000,S1,S1,pressure_post_ms,5,7.9764478199999997
32,352000,S1,S1,compaction_ms,5,19.7422085
32,352000,S1,S1,boundary_ms,5,0.024576000899999999
32,352000,S2,S2,total_ms,5,54.288896550000004
32,352000,S2,S2,gas_flux_ms,5,0.37324801099999999
32,352000,S2,S2,eulerian_coupling_ms,5,0.098304003500000001
32,352000,S2,S2,injection_ms,5,0.032767999899999997
32,352000,S2,S2,bin_pre_ms,5,0.104543999
32,352000,S2,S2,pressure_pre_ms,5,7.0128638750000007
32,352000,S2,S2,collision_pool_ms,5,0.92108798000000003
32,352000,S2,S2,relax_ms,5,11.38176015
32,352000,S2,S2,track_ms,5,4.0504319649999996
32,352000,S2,S2,bin_post_ms,5,0.42905598900000003
32,352000,S2,S2,moments_ms,5,1.8979840299999999
32,352000,S2,S2,pressure_post_ms,5,7.9959361549999999
32,352000,S2,S2,compaction_ms,5,19.9137287
32,352000,S2,S2,boundary_ms,5,0.025088000149999998
64,704000,E1,T1,total_ms,5,107.954689
64,704000,E1,T1,gas_flux_ms,5,0.37331199650000002
64,704000,E1,T1,eulerian_coupling_ms,5,0.099327996399999993
64,704000,E1,T1,injection_ms,5,0.032767999899999997
64,704000,E1,T1,bin_pre_ms,5,0.46284799300000001
