factor,initial_target_cell_particles,ratio,stage,pairs,median_speedup,ci95_low,ci95_high,classification
8,88000,T2_over_T1,boundary_ms,5,1,1,1,inconclusive
8,88000,S2_over_S1,total_ms,5,1.0404630983400658,1.0289522291570392,1.0445230805466077,positive
8,88000,S2_over_S1,gas_flux_ms,5,0.99100447305878248,0.9496688790290857,1.0932944940846958,inconclusive
8,88000,S2_over_S1,eulerian_coupling_ms,5,0.99481868877247548,0.98969079275619032,1,inconclusive
8,88000,S2_over_S1,injection_ms,5,1,0.98437499537467965,1.0158730206463371,inconclusive
8,88000,S2_over_S1,bin_pre_ms,5,0.21399176433890346,0.1988950317438703,0.29347825501411318,negative
8,88000,S2_over_S1,pressure_pre_ms,5,0.9956201590470144,0.98209014179595111,1.010364790920383,inconclusive
8,88000,S2_over_S1,collision_pool_ms,5,1.5685250554718704,1.5580174569980145,1.5818833625214985,positive
8,88000,S2_over_S1,relax_ms,5,1.0000964695697512,0.9998553033137334,1.0004809170841273,inconclusive
8,88000,S2_over_S1,track_ms,5,1.0007965005963753,0.99682330230180916,1.0015923385231156,inconclusive
8,88000,S2_over_S1,bin_post_ms,5,0.980314962738975,0.9790026164980713,0.9842104831549745,negative
8,88000,S2_over_S1,moments_ms,5,1.4369179111726516,1.4180100254918102,1.4453497981346035,positive
8,88000,S2_over_S1,pressure_post_ms,5,1.0045691532163301,0.99439526924802002,1.0219193621658442,inconclusive
8,88000,S2_over_S1,compaction_ms,5,1.0005678989057956,0.99251516492574532,1.0230741863072335,inconclusive
8,88000,S2_over_S1,boundary_ms,5,1,0.96000005765625152,1.0013003982814648,inconclusive
8,88000,S2_over_T2,total_ms,5,1.019596937087796,1.0142600656529368,1.0263306232285798,positive
8,88000,S2_over_T2,gas_flux_ms,5,1,0.87682114399793432,1.1002949764598819,inconclusive
8,88000,S2_over_T2,eulerian_coupling_ms,5,1,0.98969079275619032,1.0052082970354306,inconclusive
8,88000,S2_over_T2,injection_ms,5,0.99560549162477263,0.96874999074935919,1.0158730206463371,inconclusive
8,88000,S2_over_T2,bin_pre_ms,5,4.2359396887424943,4.1505375298083615,4.2888888237364977,positive
8,88000,S2_over_T2,pressure_pre_ms,5,1.09683129130868,1.0885396199366475,1.1134779821525167,positive
8,88000,S2_over_T2,collision_pool_ms,5,1.1128563253883814,1.1124053308558532,1.1166180795320586,positive
8,88000,S2_over_T2,relax_ms,5,0.99985531726843002,0.9996625675585229,1.0002894027938098,inconclusive
8,88000,S2_over_T2,track_ms,5,1.0008044640817189,0.99814693808387711,1.0015927923435439,inconclusive
8,88000,S2_over_T2,bin_post_ms,5,1,0.99741636543621637,1,inconclusive
8,88000,S2_over_T2,moments_ms,5,0.99971901946026143,0.99082826485261477,1.007594925574772,inconclusive
8,88000,S2_over_T2,pressure_post_ms,5,1.0104166594951873,0.9830048797209312,1.0145515082486463,inconclusive
8,88000,S2_over_T2,compaction_ms,5,0.9961335867734038,0.99295623787868137,1.0107566140605395,inconclusive
8,88000,S2_over_T2,boundary_ms,5,0.99869967486548161,0.96000005765625152,1,inconclusive
8,88000,S1_over_T1,total_ms,5,1.0231722268060002,1.0193175384066513,1.031551086197894,positive
8,88000,S1_over_T1,gas_flux_ms,5,0.98326355242827113,0.92727270288660202,1.0665658332148433,inconclusive
8,88000,S1_over_T1,eulerian_coupling_ms,5,1,1,1.0104165940708609,inconclusive
8,88000,S1_over_T1,injection_ms,5,1,0.96874999074935919,1.0158730206463371,inconclusive
8,88000,S1_over_T1,bin_pre_ms,5,19.333333460202997,13.962962539852862,20.944443052240114,positive
8,88000,S1_over_T1,pressure_pre_ms,5,1.0950298013862962,1.0907476364577862,1.1272544960305915,positive
8,88000,S1_over_T1,collision_pool_ms,5,1.2130111705680762,1.1997779882964967,1.231395722030159,positive
8,88000,S1_over_T1,relax_ms,5,0.99971066175549772,0.99942304475509192,0.99975876626539184,negative
8,88000,S1_over_T1,track_ms,5,1.0003983573588693,0.99907148843212001,1.0022597536795239,inconclusive
8,88000,S1_over_T1,bin_post_ms,5,1.0026773958370438,1,1.0026809861767234,inconclusive
8,88000,S1_over_T1,moments_ms,5,1.0047141438771972,0.98884759134987887,1.0130956276371335,inconclusive
8,88000,S1_over_T1,pressure_post_ms,5,0.9979956108499024,0.9832371571547307,1.0005470512863126,inconclusive
8,88000,S1_over_T1,compaction_ms,5,0.99901414635894237,0.97556433764657913,1.0085840619433033,inconclusive
8,88000,S1_over_T1,boundary_ms,5,1,0.99740265416807328,1,inconclusive
16,176000,T2_over_T1,total_ms,5,1.1059646017231926,1.1004975097663263,1.1137103091335638,positive
16,176000,T2_over_T1,gas_flux_ms,5,0.99592396073981448,0.9476831456878223,1.13131312260183,inconclusive
16,176000,T2_over_T1,eulerian_coupling_ms,5,1,0.99500647986492585,1.0104165940708609,inconclusive
16,176000,T2_over_T1,injection_ms,5,1,0.98484847906443707,1.0468042322703892,inconclusive
16,176000,T2_over_T1,bin_pre_ms,5,0.97732994752961611,0.97487432548607933,0.97738690790488669,negative
16,176000,T2_over_T1,pressure_pre_ms,5,0.99092516965577015,0.98125137314209376,1.0059714633590295,inconclusive
16,176000,T2_over_T1,collision_pool_ms,5,2.834106122896205,2.7451081734106388,2.8496900752731769,positive
16,176000,T2_over_T1,relax_ms,5,1,0.99967023591430082,1.0001413416723586,inconclusive
